step,lat,lon,alt,snr,load,handovers,allocated_bw,allocation_ratio,demand_MB,throughput_req,queuing_delay_s,propagation_latency_s,transmission_rate_mbps,latency_req_s,beam_capacity
10,29.802650451660156,-94.81311798095703,3694.429931640625,6.086538791656494,0.1222478374838829,11.0,77.5913314819336,1.0,77.5913314819336,21.0,0.0,0.008899983018636703,421.321044921875,0.15000000596046448,1556.7076416015625
11,29.810749053955078,-94.74681854248047,3996.68994140625,6.522406101226807,0.20780520141124725,12.0,80.20399475097656,1.0,80.20399475097656,21.0,0.0,0.008574469946324825,380.2535095214844,0.15000000596046448,1452.278564453125
12,29.819286346435547,-94.6814193725586,4266.111328125,6.846043586730957,0.6308994293212891,13.0,77.79780578613281,1.0,77.79780578613281,21.0,0.0,0.008419333957135677,177.16827392578125,0.15000000596046448,656.3477783203125
13,29.831466674804688,-94.61647033691406,4580.89013671875,7.004634857177734,0.4670644700527191,14.0,78.04000091552734,1.0,78.04000091552734,21.0,0.0,0.008431143127381802,255.80906677246094,0.15000000596046448,950.63525390625
14,29.848466873168945,-94.55461120605469,4749.61865234375,6.99246072769165,0.5487319827079773,15.0,74.09330749511719,1.0,74.09330749511719,21.0,0.0,0.008596627041697502,216.60865783691406,0.15000000596046448,764.2501220703125
15,29.867300033569336,-94.48621368408203,4892.0400390625,6.823627948760986,0.9297115802764893,16.0,79.5589370727539,1.0,79.5589370727539,21.0,0.0,0.008930782787501812,33.738441467285156,0.15000000596046448,127.81877899169922
16,29.886499404907227,-94.41668701171875,5086.35009765625,6.492399215698242,0.016007374972105026,17.0,79.7229232788086,1.0,79.7229232788086,21.0,0.0,0.009410817176103592,472.31646728515625,0.15000000596046448,1793.069091796875
17,29.91041374206543,-94.35081481933594,5290.7294921875,6.390560150146484,0.2274911254644394,18.0,77.16514587402344,1.0,77.16514587402344,21.0,0.0,0.00869719311594963,370.80426025390625,0.15000000596046448,1362.5316162109375
18,29.939899444580078,-94.28472137451172,5510.02197265625,6.519568920135498,0.8905428051948547,19.0,60.790164947509766,1.0,60.790164947509766,16.0,0.0,0.008746185339987278,52.53944778442383,0.15000000596046448,199.6175994873047
19,29.972917556762695,-94.22274780273438,5695.501953125,6.673816204071045,0.0009616765892133117,20.0,58.88953399658203,1.0,58.88953399658203,16.0,0.0,0.00875168852508068,479.53839111328125,0.15000000596046448,1764.987060546875
20,30.009220123291016,-94.16285705566406,5878.06787109375,6.944735050201416,0.10736282914876938,21.0,58.74656677246094,1.0,58.74656677246094,16.0,0.0,0.008609887212514877,428.4658508300781,0.15000000596046448,1573.1810302734375
21,30.049026489257812,-94.10231018066406,6049.26416015625,6.51254415512085,0.9960010647773743,22.0,7.254134178161621,0.11996741592884064,60.46753692626953,16.0,221.78273010253906,0.009224007837474346,1.9194786548614502,0.15000000596046448,7.254134178161621
22,30.089014053344727,-94.04097747802734,6213.00927734375,6.519505977630615,0.2630039155483246,23.0,60.43804168701172,1.0,60.43804168701172,16.0,0.0,0.009339799173176289,353.75811767578125,0.15000000596046448,1336.2779541015625
23,30.129117965698242,-93.98080444335938,6373.4091796875,6.103438854217529,0.6799818873405457,24.0,59.19126892089844,1.0,59.19126892089844,16.0,0.0,0.009888611733913422,153.6086883544922,0.15000000596046448,568.268310546875
24,30.170190811157227,-93.92407989501953,6528.30810546875,6.576693058013916,0.2163144052028656,25.0,57.119197845458984,1.0,57.119197845458984,16.0,0.0,0.00862354040145874,376.1690979003906,0.15000000596046448,1342.90478515625
25,30.21489715576172,-93.86338806152344,6697.47216796875,6.749173164367676,0.0542568676173687,26.0,60.99748992919922,1.0,60.99748992919922,16.0,0.0,0.00862677302211523,453.9566955566406,0.15000000596046448,1730.638671875
26,30.259777069091797,-93.80303192138672,6910.578125,6.875489711761475,0.9864290356636047,27.0,24.7519474029541,0.4071291983127594,60.79629898071289,16.0,44.266475677490234,0.008633783087134361,6.51406717300415,0.15000000596046448,24.7519474029541
