step, snr, load, capacity, handovers, total_allocated_bw, allocation
86,-12.921120643615723,0.7562951445579529,0.3630216717720032,87.0,17072.298828125,1.0
87,-13.33863353729248,0.9790382385253906,0.46993833780288696,88.0,17539.984375,1.0
88,-13.08348274230957,0.0577525794506073,0.027721237391233444,89.0,17576.537109375,0.2380123883485794
89,-12.750309944152832,0.9873499870300293,0.4739280045032501,90.0,17683.681640625,1.0
90,-12.594609260559082,0.7695218324661255,0.3693704903125763,91.0,18004.333984375,1.0
91,-12.629979133605957,0.45112866163253784,0.21654176712036133,92.0,18018.98046875,1.0
92,-12.847891807556152,0.983434796333313,0.47204869985580444,93.0,18306.861328125,1.0
93,-13.243504524230957,0.9995602369308472,0.4797889292240143,94.0,18729.3984375,1.0
94,-13.734559059143066,0.6669296026229858,0.3201262056827545,95.0,18971.755859375,1.0
95,-12.7653226852417,0.7337161898612976,0.3521837890148163,96.0,19239.67578125,1.0
96,-12.57776165008545,0.013349968008697033,0.006407984998077154,97.0,19239.837890625,0.0002706142549868673
97,-12.585657119750977,0.02859616093337536,0.013726157136261463,98.0,19372.2734375,0.9805955290794373
98,-12.78706169128418,0.01425956841558218,0.006844592746347189,99.0,19433.265625,1.0
99,-13.149003982543945,0.5838080644607544,0.2802278697490692,100.0,19568.9375,1.0
100,-13.17600154876709,0.9515060782432556,0.4567229151725769,101.0,19746.376953125,1.0
101,-12.791637420654297,0.9999924898147583,0.47999638319015503,102.0,19884.927734375,1.0
102,-12.57172966003418,0.9972861409187317,0.4786973297595978,103.0,20264.810546875,1.0
103,-12.554588317871094,0.02681075967848301,0.01286916434764862,104.0,20395.6875,0.40397435426712036
104,-12.739723205566406,0.7322487235069275,0.3514793813228607,105.0,20755.35546875,1.0
105,-13.093542098999023,0.9913764595985413,0.47586068511009216,106.0,20812.828125,1.0
106,-13.180904388427734,0.901559591293335,0.43274858593940735,107.0,21094.087890625,1.0
107,-12.777840614318848,0.037887293845415115,0.018185900524258614,108.0,21193.8046875,1.0
108,-12.563523292541504,0.04238180071115494,0.020343264564871788,109.0,21369.548828125,0.48695623874664307
109,-12.534673690795898,0.9464848637580872,0.4543127417564392,110.0,21472.02734375,1.0
110,-12.716082572937012,0.4977338910102844,0.23891226947307587,111.0,21487.380859375,1.0
111,-13.074542999267578,0.9243677258491516,0.4436964988708496,112.0,21615.8828125,1.0
112,-13.189763069152832,0.383171945810318,0.18392252922058105,113.0,21976.51953125,1.0
113,-12.799463272094727,0.49521008133888245,0.23770084977149963,114.0,22302.70703125,1.0
114,-12.601293563842773,0.8544559478759766,0.410138875246048,115.0,22722.67578125,1.0
115,-12.513961791992188,0.8080805540084839,0.3878786861896515,116.0,23121.466796875,1.0
116,-12.664728164672852,0.9342387318611145,0.44843459129333496,117.0,23352.064453125,1.0
117,-12.990498542785645,0.09157880395650864,0.043957825750112534,118.0,23628.130859375,1.0
118,-13.437435150146484,0.28824329376220703,0.1383567899465561,119.0,23654.38671875,1.0
119,-12.834346771240234,0.8722727298736572,0.41869089007377625,120.0,24119.896484375,1.0
120,-12.574859619140625,0.00848130788654089,0.004071027506142855,121.0,24188.1953125,0.19529059529304504
121,-12.493709564208984,0.7540785670280457,0.36195772886276245,122.0,24278.083984375,1.0
122,-12.600564002990723,0.25868290662765503,0.1241677924990654,123.0,24489.92578125,1.0
123,-12.878628730773926,0.7989120483398438,0.3834777772426605,124.0,24612.1875,1.0
124,-13.320456504821777,0.22723688185214996,0.1090736985206604,125.0,24738.41015625,1.0
125,-12.92612075805664,0.26220592856407166,0.1258588433265686,126.0,24986.576171875,1.0
126,-12.625337600708008,0.894151508808136,0.4291927218437195,127.0,25579.66015625,1.0
127,-12.492730140686035,0.656328022480011,0.31503745913505554,128.0,25758.412109375,1.0
128,-12.549596786499023,2.1513207684620284e-05,1.0326340088795405e-05,129.0,25779.78125,0.07985902577638626
129,-12.795646667480469,0.8008794784545898,0.3844221532344818,130.0,26223.59765625,1.0
130,-13.511038780212402,0.009525928646326065,0.004572445526719093,131.0,26293.365234375,0.18600009381771088
131,-13.044352531433105,0.16804681718349457,0.08066246658563614,132.0,26408.60546875,1.0
132,-12.6890287399292,0.19782041013240814,0.09495379775762558,133.0,26673.7265625,1.0
133,-12.515103340148926,0.4199565351009369,0.20157912373542786,134.0,27015.375,1.0
134,-12.527949333190918,0.05365462973713875,0.02575422078371048,135.0,27043.97265625,0.06615235656499863
135,-12.723448753356934,0.44239291548728943,0.2123485952615738,136.0,27112.853515625,1.0
136,-13.076473236083984,0.9917717576026917,0.476050466299057,137.0,27380.6796875,1.0
137,-13.14333438873291,0.7208224534988403,0.345994770526886,138.0,27833.326171875,1.0
138,-12.767631530761719,0.07376056164503098,0.03540506958961487,139.0,27884.21875,0.20286349952220917
139,-12.554484367370605,0.23367519676685333,0.11216409504413605,140.0,28300.3359375,1.0
140,-12.524225234985352,0.8176019787788391,0.39244893193244934,141.0,28395.82421875,1.0
141,-12.680831909179688,0.0005030864267610013,0.0002414814953226596,142.0,28423.53515625,0.07459521293640137
142,-13.002763748168945,0.4509768486022949,0.2164689004421234,143.0,28709.109375,1.0
143,-13.467633247375488,0.1360771805047989,0.0653170496225357,144.0,28840.771484375,0.2196948230266571
144,-12.86507511138916,0.02441210299730301,0.011717809364199638,145.0,28963.5703125,0.7545608282089233
