step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity
93,29.895992279052734,-95.24987030029297,1048.838623046875,6.353997230529785,0.7205435633659363,8.0,1.1724687814712524,1.0,1.1724687814712524,9.199999809265137,0.0,0.00909142941236496,134.13909912109375,0.10000000149011612,17.094989776611328
94,29.895238876342773,-95.24871063232422,1055.097900390625,6.337546348571777,0.06753997504711151,9.0,1.1717936992645264,1.0,1.1717936992645264,9.199999809265137,0.0,0.00910878088325262,447.580810546875,0.10000000149011612,57.00786590576172
95,29.894485473632812,-95.24754333496094,1061.357177734375,6.327930927276611,0.011978782713413239,10.0,1.1711193323135376,1.0,1.1711193323135376,9.199999809265137,0.0,0.00908520445227623,474.25018310546875,0.10000000149011612,60.36994934082031
96,29.89373207092285,-95.24637603759766,1067.616455078125,6.343495845794678,0.006021196488291025,10.0,1.1704456806182861,1.0,1.1704456806182861,9.199999809265137,0.0,0.009069080464541912,477.1098327636719,0.10000000149011612,60.69903564453125
97,29.89297866821289,-95.2452163696289,1073.875732421875,6.358924388885498,0.0020870352163910866,10.0,1.1697728633880615,1.0,1.1697728633880615,9.199999809265137,0.0,0.009053127840161324,478.99822998046875,0.10000000149011612,60.90425109863281
98,29.89222526550293,-95.24404907226562,1080.135009765625,6.374216556549072,0.0001888829137897119,10.0,1.1691008806228638,1.0,1.1691008806228638,9.199999809265137,0.0,0.009037347510457039,479.9093322753906,0.10000000149011612,60.985042572021484
99,29.89147186279297,-95.24288940429688,1086.394287109375,6.389369964599609,0.0003309787716716528,10.0,1.1684296131134033,1.0,1.1684296131134033,9.199999809265137,0.0,0.009021740406751633,479.84112548828125,0.10000000149011612,60.94136428833008
100,29.890718460083008,-95.2417221069336,1092.653564453125,6.404383659362793,0.657078742980957,11.0,1.1677590608596802,1.0,1.1677590608596802,9.199999809265137,0.0,0.00900630559772253,164.60220336914062,0.10000000149011612,20.89301300048828
101,29.889965057373047,-95.24055480957031,1098.912841796875,6.419256210327148,0.6870245337486267,11.0,1.1670893430709839,1.0,1.1670893430709839,9.199999809265137,0.0,0.008991044946014881,150.2282257080078,0.10000000149011612,19.05758285522461
102,29.889211654663086,-95.23939514160156,1105.172119140625,6.433986186981201,0.7161927819252014,11.0,1.1664204597473145,1.0,1.1664204597473145,9.199999809265137,0.0,0.008975958451628685,136.2274627685547,0.10000000149011612,17.271575927734375
